,problem,correct_solution,intermediate_1,intermediate_2
58,"[5, 2, 8, 5] ⋅ [9, 6, 2, 4]",93,45,20
59,"[5, 2, 9, 8] ⋅ [9, 7, 7, 5]",162,45,40
60,"[8, 4, 4, 4] ⋅ [2, 6, 5, 5]",80,16,20
61,"[9, 9, 5, 9] ⋅ [8, 9, 6, 7]",246,72,63
62,"[5, 8, 2, 6] ⋅ [3, 4, 3, 4]",77,15,24
63,"[6, 2, 6, 4] ⋅ [9, 2, 3, 8]",108,54,32
64,"[9, 9, 3, 8] ⋅ [7, 5, 2, 2]",130,63,16
65,"[3, 4, 3, 3] ⋅ [8, 4, 3, 5]",64,24,15
66,"[6, 5, 8, 2] ⋅ [8, 4, 3, 8]",108,48,16
67,"[9, 7, 4, 7] ⋅ [7, 9, 2, 2]",148,63,14
68,"[2, 7, 5, 3] ⋅ [4, 6, 3, 7]",86,8,21
69,"[8, 5, 3, 5] ⋅ [4, 8, 7, 2]",103,32,10
70,"[3, 2, 9, 5] ⋅ [4, 3, 4, 6]",84,12,30
71,"[3, 2, 6, 6] ⋅ [4, 2, 9, 8]",118,12,48
72,"[6, 2, 2, 4] ⋅ [2, 7, 2, 9]",66,12,36
73,"[5, 8, 8, 6] ⋅ [9, 7, 2, 9]",171,45,54
74,"[9, 5, 7, 6] ⋅ [8, 8, 2, 6]",162,72,36
75,"[5, 7, 3, 5] ⋅ [6, 9, 9, 4]",140,30,20
76,"[8, 2, 2, 5] ⋅ [6, 2, 5, 5]",87,48,25
77,"[4, 3, 5, 4] ⋅ [9, 2, 9, 2]",95,36,8
78,"[7, 6, 2, 5] ⋅ [5, 2, 8, 2]",73,35,10
79,"[4, 5, 8, 4] ⋅ [9, 4, 5, 5]",116,36,20
80,"[9, 4, 2, 4] ⋅ [4, 8, 2, 5]",92,36,20
81,"[6, 9, 5, 4] ⋅ [2, 9, 6, 8]",155,12,32
82,"[9, 9, 3, 7] ⋅ [3, 9, 8, 7]",181,27,49
83,"[8, 6, 4, 3] ⋅ [8, 5, 9, 5]",145,64,15
84,"[9, 7, 3, 6] ⋅ [4, 5, 9, 4]",122,36,24
85,"[7, 8, 3, 6] ⋅ [6, 5, 6, 8]",148,42,48
86,"[8, 7, 2, 3] ⋅ [6, 3, 9, 7]",108,48,21
87,"[7, 6, 7, 3] ⋅ [4, 8, 7, 9]",152,28,27
88,"[4, 5, 9, 9] ⋅ [7, 8, 2, 2]",104,28,18
89,"[5, 6, 5, 5] ⋅ [6, 8, 8, 8]",158,30,40
90,"[2, 4, 7, 7] ⋅ [4, 9, 4, 5]",107,8,35
91,"[4, 2, 8, 5] ⋅ [6, 4, 5, 9]",117,24,45
92,"[9, 2, 6, 3] ⋅ [2, 2, 7, 9]",91,18,27
93,"[8, 6, 9, 8] ⋅ [5, 4, 7, 4]",159,40,32
94,"[5, 7, 4, 3] ⋅ [5, 4, 4, 7]",90,25,21
95,"[7, 9, 8, 8] ⋅ [5, 4, 2, 9]",159,35,72
96,"[4, 2, 3, 5] ⋅ [6, 3, 5, 9]",90,24,45
97,"[4, 8, 9, 9] ⋅ [5, 5, 8, 7]",195,20,63
98,"[5, 2, 4, 8] ⋅ [7, 2, 4, 5]",95,35,40
99,"[5, 6, 4, 6] ⋅ [4, 6, 3, 7]",110,20,42
100,"[9, 7, 7, 5] ⋅ [2, 5, 9, 9]",161,18,45
101,"[4, 5, 4, 4] ⋅ [5, 5, 3, 7]",85,20,28
102,"[6, 4, 6, 7] ⋅ [3, 6, 9, 4]",124,18,28
103,"[9, 6, 6, 8] ⋅ [2, 2, 7, 7]",128,18,56
104,"[7, 6, 4, 9] ⋅ [3, 8, 3, 5]",126,21,45
105,"[6, 4, 6, 3] ⋅ [5, 3, 5, 9]",99,30,27
106,"[7, 8, 6, 8] ⋅ [3, 4, 7, 6]",143,21,48
107,"[2, 7, 7, 6] ⋅ [6, 4, 9, 4]",127,12,24
108,"[3, 3, 7, 8] ⋅ [7, 2, 5, 9]",134,21,72
109,"[5, 7, 2, 2] ⋅ [4, 5, 2, 6]",71,20,12
110,"[7, 3, 3, 6] ⋅ [7, 8, 8, 3]",115,49,18
111,"[9, 3, 2, 9] ⋅ [5, 4, 6, 7]",132,45,63
112,"[9, 2, 6, 2] ⋅ [5, 4, 5, 4]",91,45,8
113,"[5, 6, 2, 3] ⋅ [9, 8, 3, 4]",111,45,12
114,"[8, 2, 9, 8] ⋅ [5, 6, 7, 7]",171,40,56
115,"[8, 5, 6, 2] ⋅ [6, 9, 3, 9]",129,48,18
116,"[3, 6, 9, 6] ⋅ [8, 7, 3, 6]",129,24,36
117,"[6, 5, 7, 6] ⋅ [5, 3, 4, 5]",103,30,30
118,"[8, 3, 5, 5] ⋅ [8, 4, 5, 2]",111,64,10
119,"[4, 2, 7, 3] ⋅ [4, 5, 9, 6]",107,16,18
120,"[6, 2, 6, 9] ⋅ [9, 5, 8, 4]",148,54,36
121,"[5, 7, 9, 7] ⋅ [6, 6, 6, 6]",168,30,42
122,"[7, 8, 7, 4] ⋅ [5, 8, 6, 4]",157,35,16
123,"[9, 7, 7, 4] ⋅ [2, 8, 5, 3]",121,18,12
124,"[9, 8, 4, 6] ⋅ [7, 5, 4, 8]",167,63,48
125,"[9, 5, 6, 6] ⋅ [7, 5, 3, 4]",130,63,24
126,"[7, 8, 7, 3] ⋅ [7, 6, 5, 8]",156,49,24
127,"[9, 2, 3, 6] ⋅ [4, 5, 4, 3]",76,36,18
128,"[6, 3, 3, 3] ⋅ [3, 6, 8, 3]",69,18,9
129,"[7, 2, 4, 6] ⋅ [5, 6, 4, 7]",105,35,42
130,"[5, 3, 7, 3] ⋅ [7, 8, 4, 3]",96,35,9
131,"[2, 3, 8, 6] ⋅ [7, 8, 3, 8]",110,14,48
132,"[6, 6, 2, 5] ⋅ [4, 9, 6, 2]",100,24,10
133,"[7, 7, 6, 8] ⋅ [2, 7, 8, 2]",127,14,16
134,"[6, 8, 9, 7] ⋅ [9, 2, 9, 4]",179,54,28
135,"[5, 8, 6, 6] ⋅ [8, 2, 4, 9]",134,40,54
136,"[7, 7, 4, 7] ⋅ [5, 7, 8, 5]",151,35,35
137,"[4, 9, 8, 3] ⋅ [9, 5, 4, 7]",134,36,21
138,"[3, 3, 7, 6] ⋅ [7, 5, 9, 2]",111,21,12
139,"[6, 8, 2, 9] ⋅ [3, 4, 3, 5]",101,18,45
140,"[8, 3, 8, 4] ⋅ [2, 3, 4, 3]",69,16,12
141,"[8, 8, 6, 8] ⋅ [5, 2, 6, 2]",108,40,16
142,"[6, 7, 2, 2] ⋅ [5, 8, 9, 7]",118,30,14
143,"[5, 2, 8, 9] ⋅ [6, 8, 4, 5]",123,30,45
144,"[9, 3, 3, 7] ⋅ [6, 8, 2, 6]",126,54,42
145,"[9, 4, 4, 2] ⋅ [3, 4, 4, 9]",77,27,18
146,"[5, 5, 7, 5] ⋅ [2, 9, 4, 5]",108,10,25
147,"[6, 3, 6, 4] ⋅ [2, 3, 5, 6]",75,12,24
148,"[8, 7, 7, 4] ⋅ [7, 4, 6, 5]",146,56,20
149,"[2, 6, 8, 7] ⋅ [7, 9, 9, 4]",168,14,28
150,"[9, 5, 4, 2] ⋅ [9, 4, 8, 3]",139,81,6
151,"[8, 3, 2, 3] ⋅ [7, 6, 8, 3]",99,56,9
152,"[8, 7, 5, 9] ⋅ [9, 5, 8, 7]",210,72,63
153,"[3, 9, 3, 9] ⋅ [5, 5, 8, 9]",165,15,81
154,"[4, 2, 9, 7] ⋅ [4, 5, 4, 7]",111,16,49
155,"[9, 5, 3, 3] ⋅ [2, 3, 9, 8]",84,18,24
156,"[3, 3, 5, 8] ⋅ [3, 3, 3, 3]",57,9,24
157,"[5, 7, 9, 9] ⋅ [4, 7, 2, 3]",114,20,27
158,"[4, 2, 5, 4] ⋅ [3, 4, 7, 9]",91,12,36
159,"[7, 2, 2, 6] ⋅ [6, 4, 4, 8]",106,42,48
160,"[7, 4, 7, 3] ⋅ [9, 2, 8, 9]",154,63,27
161,"[5, 5, 7, 7] ⋅ [3, 9, 5, 7]",144,15,49
162,"[9, 9, 3, 7] ⋅ [4, 8, 2, 3]",135,36,21
163,"[5, 3, 9, 4] ⋅ [3, 2, 8, 5]",113,15,20
164,"[8, 8, 6, 3] ⋅ [7, 9, 9, 4]",194,56,12
165,"[8, 7, 2, 4] ⋅ [3, 8, 5, 3]",102,24,12
166,"[4, 3, 4, 2] ⋅ [7, 4, 4, 8]",72,28,16
167,"[7, 2, 4, 7] ⋅ [9, 3, 6, 9]",156,63,63
168,"[6, 3, 4, 5] ⋅ [5, 6, 4, 4]",84,30,20
169,"[8, 3, 9, 5] ⋅ [6, 7, 9, 3]",165,48,15
170,"[7, 6, 7, 8] ⋅ [4, 9, 4, 6]",158,28,48
171,"[3, 3, 5, 4] ⋅ [8, 5, 6, 6]",93,24,24
172,"[3, 8, 8, 6] ⋅ [3, 3, 4, 8]",113,9,48
173,"[5, 7, 3, 9] ⋅ [8, 3, 7, 2]",100,40,18
174,"[6, 7, 2, 9] ⋅ [9, 4, 6, 3]",121,54,27
175,"[2, 6, 4, 2] ⋅ [8, 9, 2, 6]",90,16,12
176,"[8, 6, 2, 7] ⋅ [3, 3, 6, 9]",117,24,63
177,"[8, 3, 7, 2] ⋅ [7, 9, 8, 3]",145,56,6
178,"[6, 9, 7, 5] ⋅ [2, 4, 8, 3]",119,12,15
179,"[8, 9, 8, 7] ⋅ [7, 5, 4, 4]",161,56,28
180,"[5, 5, 3, 9] ⋅ [6, 3, 2, 9]",132,30,81
181,"[9, 3, 4, 6] ⋅ [5, 2, 3, 3]",81,45,18
182,"[5, 2, 9, 3] ⋅ [8, 5, 9, 6]",149,40,18
183,"[2, 9, 6, 8] ⋅ [8, 3, 9, 7]",153,16,56
184,"[7, 2, 6, 3] ⋅ [2, 9, 4, 4]",68,14,12
185,"[7, 7, 2, 2] ⋅ [8, 2, 9, 6]",100,56,12
186,"[5, 8, 7, 5] ⋅ [4, 2, 6, 6]",108,20,30
187,"[9, 3, 7, 7] ⋅ [3, 7, 3, 5]",104,27,35
188,"[8, 2, 4, 8] ⋅ [3, 3, 7, 6]",106,24,48
189,"[3, 4, 4, 2] ⋅ [6, 6, 2, 9]",68,18,18
190,"[6, 4, 7, 4] ⋅ [8, 4, 8, 6]",144,48,24
191,"[9, 5, 5, 6] ⋅ [5, 4, 2, 8]",123,45,48
192,"[8, 5, 6, 4] ⋅ [4, 5, 2, 6]",93,32,24
193,"[8, 9, 2, 6] ⋅ [9, 6, 5, 6]",172,72,36
194,"[7, 6, 2, 8] ⋅ [9, 4, 8, 2]",119,63,16
195,"[7, 9, 5, 6] ⋅ [6, 7, 4, 9]",179,42,54
196,"[2, 2, 9, 7] ⋅ [2, 6, 3, 9]",106,4,63
197,"[5, 3, 4, 7] ⋅ [5, 3, 7, 7]",111,25,49
198,"[4, 6, 3, 7] ⋅ [2, 4, 4, 9]",107,8,63
199,"[2, 3, 8, 9] ⋅ [6, 7, 8, 8]",169,12,72
200,"[8, 5, 9, 5] ⋅ [4, 9, 8, 2]",159,32,10
201,"[7, 2, 3, 9] ⋅ [2, 7, 4, 8]",112,14,72
202,"[5, 9, 7, 3] ⋅ [8, 9, 9, 4]",196,40,12
203,"[5, 5, 5, 6] ⋅ [6, 3, 9, 6]",126,30,36
204,"[9, 7, 2, 9] ⋅ [4, 7, 8, 9]",182,36,81
205,"[3, 9, 3, 2] ⋅ [4, 3, 8, 8]",79,12,16
206,"[6, 3, 5, 5] ⋅ [5, 8, 6, 5]",109,30,25
207,"[8, 2, 5, 4] ⋅ [9, 4, 2, 9]",126,72,36
208,"[2, 7, 6, 6] ⋅ [5, 5, 9, 8]",147,10,48
209,"[7, 5, 6, 3] ⋅ [2, 7, 7, 9]",118,14,27
210,"[6, 2, 8, 5] ⋅ [2, 6, 6, 2]",82,12,10
211,"[6, 9, 7, 7] ⋅ [7, 7, 6, 5]",182,42,35
212,"[8, 4, 2, 7] ⋅ [7, 8, 6, 9]",163,56,63
213,"[7, 4, 7, 8] ⋅ [9, 5, 9, 3]",170,63,24
214,"[7, 2, 2, 5] ⋅ [5, 5, 9, 8]",103,35,40
215,"[5, 6, 5, 5] ⋅ [5, 6, 5, 2]",96,25,10
216,"[9, 3, 3, 6] ⋅ [4, 3, 8, 5]",99,36,30
217,"[5, 5, 2, 8] ⋅ [3, 9, 9, 4]",110,15,32
218,"[6, 9, 8, 2] ⋅ [7, 7, 3, 5]",139,42,10
219,"[9, 3, 7, 3] ⋅ [7, 7, 7, 2]",139,63,6
220,"[5, 8, 4, 3] ⋅ [4, 5, 4, 8]",100,20,24
221,"[5, 3, 9, 3] ⋅ [8, 7, 7, 8]",148,40,24
222,"[8, 6, 2, 7] ⋅ [7, 9, 8, 9]",189,56,63
223,"[3, 5, 7, 3] ⋅ [4, 3, 7, 6]",94,12,18
224,"[4, 8, 3, 5] ⋅ [8, 2, 9, 7]",110,32,35
225,"[7, 4, 5, 7] ⋅ [2, 2, 8, 4]",90,14,28
226,"[6, 2, 8, 4] ⋅ [3, 3, 9, 9]",132,18,36
227,"[3, 7, 8, 4] ⋅ [6, 5, 8, 6]",141,18,24
228,"[9, 7, 4, 9] ⋅ [9, 2, 8, 9]",208,81,81
229,"[5, 5, 5, 6] ⋅ [7, 9, 6, 3]",128,35,18
230,"[3, 2, 3, 7] ⋅ [4, 9, 4, 7]",91,12,49
231,"[2, 5, 2, 5] ⋅ [6, 2, 3, 4]",48,12,20
232,"[9, 3, 8, 3] ⋅ [5, 2, 9, 9]",150,45,27
233,"[2, 4, 3, 9] ⋅ [9, 3, 5, 5]",90,18,45
234,"[7, 7, 9, 7] ⋅ [4, 9, 6, 5]",180,28,35
235,"[4, 7, 9, 3] ⋅ [2, 4, 5, 9]",108,8,27
236,"[5, 8, 5, 3] ⋅ [4, 5, 6, 8]",114,20,24
237,"[3, 7, 8, 9] ⋅ [5, 6, 2, 7]",136,15,63
238,"[5, 3, 7, 5] ⋅ [7, 7, 3, 3]",92,35,15
239,"[6, 6, 5, 8] ⋅ [2, 2, 3, 6]",87,12,48
240,"[9, 2, 4, 3] ⋅ [5, 9, 4, 7]",100,45,21
241,"[6, 6, 2, 9] ⋅ [4, 9, 6, 4]",126,24,36
242,"[4, 3, 8, 4] ⋅ [3, 7, 9, 7]",133,12,28
243,"[7, 2, 5, 8] ⋅ [9, 4, 6, 8]",165,63,64
244,"[5, 9, 9, 6] ⋅ [3, 8, 3, 2]",126,15,12
245,"[9, 2, 5, 7] ⋅ [8, 5, 4, 3]",123,72,21
246,"[2, 3, 5, 6] ⋅ [2, 9, 8, 9]",125,4,54
247,"[5, 2, 8, 6] ⋅ [4, 7, 4, 5]",96,20,30
248,"[8, 8, 2, 3] ⋅ [2, 6, 8, 9]",107,16,27
249,"[9, 5, 5, 7] ⋅ [7, 6, 7, 5]",163,63,35
250,"[6, 6, 7, 9] ⋅ [2, 4, 4, 9]",145,12,81
251,"[5, 7, 6, 5] ⋅ [7, 8, 5, 6]",151,35,30
252,"[7, 8, 9, 9] ⋅ [5, 2, 6, 6]",159,35,54
253,"[8, 9, 5, 2] ⋅ [6, 5, 3, 6]",120,48,12
254,"[4, 5, 5, 5] ⋅ [3, 2, 3, 3]",52,12,15
255,"[4, 6, 3, 9] ⋅ [7, 5, 2, 8]",136,28,72
256,"[9, 4, 4, 4] ⋅ [3, 7, 7, 3]",95,27,12
257,"[6, 9, 9, 4] ⋅ [6, 9, 5, 7]",190,36,28
258,"[9, 5, 9, 8] ⋅ [4, 5, 5, 6]",154,36,48
259,"[6, 3, 4, 3] ⋅ [8, 7, 7, 5]",112,48,15
260,"[8, 5, 8, 3] ⋅ [6, 5, 3, 4]",109,48,12
261,"[5, 5, 2, 9] ⋅ [4, 7, 4, 3]",90,20,27
262,"[8, 7, 4, 8] ⋅ [4, 4, 6, 5]",124,32,40
263,"[3, 5, 8, 3] ⋅ [8, 6, 3, 3]",87,24,9
264,"[3, 5, 3, 5] ⋅ [3, 6, 8, 4]",83,9,20
265,"[4, 6, 2, 8] ⋅ [6, 4, 5, 9]",130,24,72
266,"[5, 3, 6, 6] ⋅ [3, 7, 6, 9]",126,15,54
267,"[9, 7, 4, 7] ⋅ [5, 9, 2, 9]",179,45,63
268,"[6, 3, 4, 2] ⋅ [3, 7, 2, 5]",57,18,10
269,"[6, 9, 4, 7] ⋅ [2, 9, 9, 7]",178,12,49
270,"[7, 8, 5, 9] ⋅ [7, 7, 6, 3]",162,49,27
271,"[3, 6, 6, 2] ⋅ [6, 7, 7, 5]",112,18,10
272,"[7, 5, 6, 6] ⋅ [8, 9, 4, 9]",179,56,54
273,"[8, 8, 9, 3] ⋅ [7, 2, 9, 8]",177,56,24
274,"[7, 4, 4, 6] ⋅ [9, 6, 3, 5]",129,63,30
275,"[4, 7, 8, 9] ⋅ [5, 2, 5, 2]",92,20,18
276,"[4, 3, 9, 4] ⋅ [3, 4, 2, 5]",62,12,20
277,"[3, 2, 7, 9] ⋅ [5, 4, 2, 7]",100,15,63
278,"[3, 4, 3, 5] ⋅ [7, 7, 2, 4]",75,21,20
279,"[7, 5, 5, 2] ⋅ [2, 9, 8, 9]",117,14,18
280,"[2, 8, 9, 3] ⋅ [7, 8, 7, 6]",159,14,18
281,"[4, 3, 2, 4] ⋅ [8, 6, 8, 9]",102,32,36
282,"[7, 7, 7, 7] ⋅ [3, 9, 7, 8]",189,21,56
283,"[8, 2, 8, 5] ⋅ [2, 3, 7, 9]",123,16,45
284,"[6, 9, 9, 2] ⋅ [3, 2, 5, 2]",85,18,4
285,"[7, 2, 9, 5] ⋅ [6, 6, 3, 3]",96,42,15
286,"[7, 5, 3, 3] ⋅ [3, 3, 5, 6]",69,21,18
287,"[3, 7, 2, 8] ⋅ [7, 6, 9, 5]",121,21,40
288,"[6, 7, 9, 7] ⋅ [4, 6, 4, 8]",158,24,56
289,"[5, 5, 9, 6] ⋅ [6, 6, 3, 2]",99,30,12
290,"[5, 5, 7, 8] ⋅ [5, 9, 5, 9]",177,25,72
291,"[5, 5, 7, 2] ⋅ [9, 5, 2, 8]",100,45,16
292,"[7, 7, 5, 4] ⋅ [8, 8, 4, 3]",144,56,12
293,"[9, 7, 4, 9] ⋅ [5, 7, 5, 3]",141,45,27
294,"[2, 9, 5, 7] ⋅ [7, 5, 7, 6]",136,14,42
295,"[6, 6, 8, 6] ⋅ [4, 4, 8, 9]",166,24,54
296,"[6, 5, 5, 7] ⋅ [8, 8, 7, 7]",172,48,49
297,"[7, 6, 5, 8] ⋅ [9, 6, 3, 9]",186,63,72
298,"[4, 2, 2, 8] ⋅ [5, 9, 8, 9]",126,20,72
299,"[3, 2, 9, 9] ⋅ [9, 2, 3, 9]",139,27,81
300,"[8, 6, 9, 9] ⋅ [8, 7, 2, 4]",160,64,36
301,"[2, 7, 5, 2] ⋅ [9, 8, 5, 8]",115,18,16
302,"[9, 5, 2, 8] ⋅ [9, 2, 8, 6]",155,81,48
303,"[3, 9, 2, 8] ⋅ [6, 3, 4, 8]",117,18,64
304,"[9, 6, 2, 7] ⋅ [9, 9, 7, 4]",177,81,28
305,"[5, 4, 6, 7] ⋅ [4, 4, 9, 7]",139,20,49
306,"[6, 2, 5, 5] ⋅ [6, 7, 7, 5]",110,36,25
307,"[8, 9, 4, 6] ⋅ [7, 3, 8, 8]",163,56,48
308,"[4, 5, 9, 3] ⋅ [3, 4, 2, 7]",71,12,21
309,"[4, 6, 7, 7] ⋅ [4, 4, 9, 3]",124,16,21
310,"[2, 7, 3, 7] ⋅ [4, 2, 6, 2]",54,8,14
311,"[8, 9, 5, 6] ⋅ [8, 5, 8, 4]",173,64,24
312,"[2, 7, 6, 2] ⋅ [7, 7, 5, 4]",101,14,8
313,"[7, 7, 5, 7] ⋅ [7, 4, 7, 5]",147,49,35
314,"[2, 9, 9, 2] ⋅ [8, 4, 5, 9]",115,16,18
315,"[2, 4, 2, 8] ⋅ [9, 2, 9, 8]",108,18,64
316,"[4, 4, 4, 2] ⋅ [6, 6, 4, 4]",72,24,8
317,"[7, 9, 6, 7] ⋅ [5, 5, 9, 3]",155,35,21
318,"[6, 7, 8, 2] ⋅ [2, 7, 4, 5]",103,12,10
319,"[3, 3, 6, 5] ⋅ [8, 9, 8, 3]",114,24,15
320,"[5, 5, 3, 3] ⋅ [2, 5, 7, 9]",83,10,27
321,"[5, 3, 5, 4] ⋅ [4, 8, 3, 3]",71,20,12
322,"[3, 9, 6, 3] ⋅ [5, 5, 5, 8]",114,15,24
323,"[4, 2, 9, 5] ⋅ [2, 4, 5, 7]",96,8,35
324,"[2, 2, 3, 5] ⋅ [3, 5, 5, 2]",41,6,10
325,"[2, 8, 7, 8] ⋅ [2, 8, 5, 6]",151,4,48
326,"[2, 2, 4, 5] ⋅ [4, 6, 7, 5]",73,8,25
327,"[8, 3, 3, 5] ⋅ [2, 3, 3, 9]",79,16,45
328,"[8, 7, 2, 9] ⋅ [8, 3, 4, 5]",138,64,45
329,"[9, 8, 9, 9] ⋅ [4, 4, 4, 2]",122,36,18
330,"[3, 6, 9, 3] ⋅ [5, 9, 8, 5]",156,15,15
331,"[4, 5, 6, 8] ⋅ [6, 9, 7, 4]",143,24,32
332,"[8, 9, 9, 6] ⋅ [9, 3, 9, 9]",234,72,54
333,"[2, 5, 7, 8] ⋅ [2, 2, 6, 2]",72,4,16
334,"[4, 9, 7, 7] ⋅ [2, 6, 9, 6]",167,8,42
335,"[6, 3, 7, 6] ⋅ [4, 3, 7, 4]",106,24,24
336,"[3, 5, 5, 2] ⋅ [4, 7, 5, 5]",82,12,10
337,"[7, 6, 8, 5] ⋅ [7, 7, 6, 6]",169,49,30
338,"[2, 8, 5, 9] ⋅ [7, 8, 8, 5]",163,14,45
339,"[2, 8, 8, 3] ⋅ [3, 5, 7, 3]",111,6,9
340,"[9, 3, 7, 6] ⋅ [6, 5, 3, 2]",102,54,12
341,"[6, 5, 9, 2] ⋅ [3, 8, 7, 5]",131,18,10
342,"[7, 4, 8, 4] ⋅ [2, 2, 8, 6]",110,14,24
343,"[7, 9, 9, 4] ⋅ [4, 4, 8, 6]",160,28,24
344,"[9, 8, 9, 3] ⋅ [4, 7, 4, 6]",146,36,18
345,"[3, 3, 8, 9] ⋅ [9, 4, 5, 6]",133,27,54
346,"[7, 7, 6, 5] ⋅ [9, 7, 7, 5]",179,63,25
347,"[9, 2, 7, 2] ⋅ [5, 9, 7, 8]",128,45,16
348,"[5, 6, 5, 5] ⋅ [2, 5, 3, 5]",80,10,25
349,"[2, 2, 2, 7] ⋅ [5, 5, 7, 8]",90,10,56
350,"[6, 7, 8, 2] ⋅ [4, 6, 5, 9]",124,24,18
351,"[7, 8, 5, 3] ⋅ [4, 9, 8, 5]",155,28,15
352,"[5, 8, 7, 7] ⋅ [3, 9, 3, 9]",171,15,63
353,"[4, 7, 6, 7] ⋅ [7, 8, 7, 7]",175,28,49
354,"[9, 7, 6, 9] ⋅ [7, 7, 9, 4]",202,63,36
355,"[5, 2, 4, 4] ⋅ [3, 7, 3, 2]",49,15,8
356,"[4, 4, 2, 4] ⋅ [7, 5, 4, 6]",80,28,24
