,problem,correct_solution,intermediate_1,intermediate_2
90,"[6, 3, 7, 9, 9] ⋅ [2, 6, 9, 9, 5]",219,12,45
91,"[6, 5, 8, 6, 6] ⋅ [5, 3, 6, 4, 4]",141,30,24
92,"[4, 3, 3, 3, 6] ⋅ [8, 5, 5, 3, 6]",107,32,36
93,"[4, 6, 3, 4, 2] ⋅ [3, 2, 5, 7, 9]",85,12,18
94,"[4, 3, 3, 7, 2] ⋅ [4, 2, 9, 5, 6]",96,16,12
95,"[9, 5, 5, 3, 8] ⋅ [6, 3, 8, 9, 7]",192,54,56
96,"[9, 2, 3, 6, 4] ⋅ [3, 4, 7, 7, 9]",134,27,36
97,"[3, 5, 3, 3, 9] ⋅ [2, 2, 4, 2, 5]",79,6,45
98,"[5, 6, 9, 7, 7] ⋅ [7, 9, 6, 7, 7]",241,35,49
99,"[6, 4, 2, 2, 2] ⋅ [2, 8, 8, 2, 8]",80,12,16
100,"[7, 5, 4, 7, 9] ⋅ [3, 2, 9, 9, 3]",157,21,27
101,"[3, 3, 9, 3, 8] ⋅ [4, 2, 8, 3, 5]",139,12,40
102,"[8, 5, 7, 5, 3] ⋅ [8, 9, 4, 4, 4]",169,64,12
103,"[6, 6, 7, 9, 9] ⋅ [5, 5, 6, 9, 3]",210,30,27
104,"[5, 6, 5, 5, 5] ⋅ [3, 5, 8, 8, 6]",155,15,30
105,"[8, 4, 8, 6, 9] ⋅ [4, 5, 7, 4, 8]",204,32,72
106,"[8, 5, 7, 2, 8] ⋅ [7, 5, 5, 6, 2]",144,56,16
107,"[8, 2, 8, 2, 4] ⋅ [9, 6, 2, 4, 5]",128,72,20
108,"[9, 8, 9, 3, 8] ⋅ [5, 6, 5, 8, 3]",186,45,24
109,"[6, 7, 8, 7, 2] ⋅ [6, 5, 3, 5, 7]",144,36,14
110,"[6, 8, 6, 2, 5] ⋅ [7, 9, 7, 3, 2]",172,42,10
111,"[9, 3, 9, 7, 2] ⋅ [6, 2, 7, 6, 6]",177,54,12
112,"[6, 4, 9, 3, 2] ⋅ [4, 9, 4, 5, 6]",123,24,12
113,"[6, 6, 6, 5, 9] ⋅ [2, 2, 8, 8, 3]",139,12,27
114,"[9, 2, 3, 4, 7] ⋅ [3, 8, 3, 2, 9]",123,27,63
115,"[6, 7, 4, 4, 2] ⋅ [5, 4, 3, 3, 8]",98,30,16
116,"[5, 4, 5, 8, 7] ⋅ [6, 5, 2, 3, 8]",140,30,56
117,"[4, 6, 2, 8, 5] ⋅ [3, 8, 4, 2, 4]",104,12,20
118,"[2, 9, 4, 4, 4] ⋅ [9, 2, 9, 3, 6]",108,18,24
119,"[6, 4, 4, 2, 2] ⋅ [4, 7, 8, 6, 8]",112,24,16
120,"[6, 6, 2, 7, 9] ⋅ [5, 3, 8, 9, 2]",145,30,18
121,"[7, 5, 7, 6, 5] ⋅ [4, 4, 6, 4, 6]",144,28,30
122,"[9, 2, 2, 9, 8] ⋅ [8, 4, 8, 4, 6]",180,72,48
123,"[2, 7, 5, 2, 5] ⋅ [5, 8, 8, 9, 8]",164,10,40
124,"[5, 3, 8, 5, 4] ⋅ [6, 5, 8, 2, 8]",151,30,32
125,"[5, 7, 7, 2, 5] ⋅ [9, 3, 9, 7, 4]",163,45,20
126,"[3, 5, 3, 5, 5] ⋅ [5, 7, 9, 5, 2]",112,15,10
127,"[5, 5, 5, 2, 5] ⋅ [5, 5, 9, 2, 4]",119,25,20
128,"[5, 8, 5, 6, 6] ⋅ [7, 3, 3, 4, 5]",128,35,30
129,"[3, 4, 9, 9, 3] ⋅ [5, 5, 2, 7, 6]",134,15,18
130,"[5, 2, 3, 9, 8] ⋅ [5, 5, 8, 8, 3]",155,25,24
131,"[4, 6, 4, 6, 7] ⋅ [4, 8, 3, 3, 2]",108,16,14
132,"[2, 3, 4, 9, 5] ⋅ [7, 4, 4, 9, 2]",133,14,10
133,"[7, 7, 2, 4, 3] ⋅ [4, 4, 3, 4, 2]",84,28,6
134,"[5, 5, 4, 8, 3] ⋅ [3, 8, 6, 7, 5]",150,15,15
135,"[5, 5, 9, 3, 8] ⋅ [3, 8, 9, 9, 6]",211,15,48
136,"[9, 9, 3, 4, 9] ⋅ [2, 4, 4, 8, 5]",143,18,45
137,"[7, 9, 9, 8, 4] ⋅ [5, 3, 9, 7, 7]",227,35,28
138,"[6, 8, 9, 8, 5] ⋅ [9, 3, 2, 8, 9]",205,54,45
139,"[2, 3, 3, 7, 9] ⋅ [7, 8, 5, 8, 7]",172,14,63
140,"[4, 7, 3, 2, 6] ⋅ [5, 4, 2, 5, 5]",94,20,30
141,"[9, 2, 5, 7, 3] ⋅ [5, 6, 9, 8, 4]",170,45,12
142,"[8, 5, 4, 4, 2] ⋅ [8, 2, 9, 4, 6]",138,64,12
143,"[2, 5, 5, 4, 4] ⋅ [9, 6, 4, 2, 9]",112,18,36
144,"[2, 3, 8, 5, 9] ⋅ [7, 2, 4, 7, 9]",168,14,81
145,"[7, 8, 5, 6, 9] ⋅ [8, 7, 7, 6, 6]",237,56,54
146,"[5, 6, 4, 4, 7] ⋅ [7, 7, 9, 5, 2]",147,35,14
147,"[3, 8, 6, 9, 9] ⋅ [7, 6, 6, 2, 7]",186,21,63
148,"[2, 2, 3, 4, 3] ⋅ [6, 2, 4, 2, 8]",60,12,24
149,"[3, 4, 9, 6, 6] ⋅ [9, 4, 8, 9, 8]",217,27,48
150,"[6, 7, 5, 7, 5] ⋅ [4, 5, 9, 9, 3]",182,24,15
151,"[5, 9, 7, 7, 3] ⋅ [4, 7, 7, 8, 9]",215,20,27
152,"[4, 6, 9, 8, 3] ⋅ [7, 5, 7, 4, 9]",180,28,27
153,"[3, 4, 4, 7, 2] ⋅ [3, 5, 3, 3, 8]",78,9,16
154,"[7, 3, 7, 7, 9] ⋅ [9, 8, 4, 7, 3]",191,63,27
155,"[7, 2, 9, 3, 8] ⋅ [8, 9, 8, 5, 5]",201,56,40
156,"[6, 9, 3, 5, 2] ⋅ [7, 9, 4, 3, 9]",168,42,18
157,"[8, 8, 4, 3, 5] ⋅ [4, 7, 3, 7, 9]",166,32,45
158,"[2, 6, 9, 7, 2] ⋅ [9, 4, 9, 6, 5]",175,18,10
159,"[9, 5, 6, 4, 9] ⋅ [6, 5, 5, 5, 8]",201,54,72
160,"[2, 6, 8, 4, 8] ⋅ [9, 7, 2, 2, 4]",116,18,32
161,"[2, 4, 4, 8, 9] ⋅ [6, 4, 4, 9, 8]",188,12,72
162,"[6, 9, 7, 8, 4] ⋅ [5, 9, 4, 2, 5]",175,30,20
163,"[5, 8, 3, 7, 3] ⋅ [7, 3, 2, 2, 8]",103,35,24
164,"[4, 5, 7, 8, 5] ⋅ [5, 6, 3, 9, 8]",183,20,40
165,"[4, 8, 7, 8, 2] ⋅ [6, 7, 9, 6, 7]",205,24,14
166,"[8, 6, 2, 5, 7] ⋅ [8, 7, 3, 4, 2]",146,64,14
167,"[9, 8, 6, 5, 3] ⋅ [3, 3, 2, 7, 7]",119,27,21
168,"[2, 9, 2, 6, 4] ⋅ [5, 8, 8, 5, 7]",156,10,28
169,"[8, 2, 7, 7, 5] ⋅ [5, 9, 9, 9, 7]",219,40,35
170,"[7, 8, 8, 5, 9] ⋅ [3, 2, 3, 2, 2]",89,21,18
171,"[7, 4, 4, 9, 9] ⋅ [5, 6, 3, 3, 2]",116,35,18
172,"[3, 4, 5, 5, 2] ⋅ [6, 3, 2, 7, 4]",83,18,8
173,"[2, 5, 2, 9, 2] ⋅ [5, 6, 4, 2, 6]",78,10,12
174,"[3, 9, 7, 8, 9] ⋅ [4, 6, 5, 2, 8]",189,12,72
175,"[2, 9, 5, 8, 8] ⋅ [8, 6, 6, 4, 7]",188,16,56
176,"[9, 7, 9, 7, 6] ⋅ [4, 9, 7, 7, 2]",223,36,12
177,"[8, 3, 8, 9, 3] ⋅ [4, 2, 4, 9, 5]",166,32,15
178,"[3, 8, 2, 2, 8] ⋅ [5, 5, 4, 6, 8]",139,15,64
179,"[5, 2, 6, 9, 6] ⋅ [5, 9, 2, 9, 8]",184,25,48
180,"[8, 9, 8, 8, 5] ⋅ [7, 2, 7, 8, 3]",209,56,15
181,"[9, 8, 2, 5, 7] ⋅ [2, 2, 9, 9, 2]",111,18,14
182,"[5, 4, 5, 4, 4] ⋅ [8, 7, 2, 5, 5]",118,40,20
183,"[5, 9, 6, 8, 5] ⋅ [3, 3, 9, 4, 8]",168,15,40
184,"[3, 5, 3, 2, 4] ⋅ [9, 6, 3, 9, 5]",104,27,20
185,"[5, 6, 4, 9, 6] ⋅ [2, 3, 3, 3, 5]",97,10,30
186,"[4, 7, 8, 7, 7] ⋅ [7, 7, 2, 9, 6]",198,28,42
187,"[7, 7, 5, 8, 7] ⋅ [5, 5, 4, 3, 2]",128,35,14
188,"[3, 6, 3, 7, 3] ⋅ [7, 9, 6, 7, 4]",154,21,12
189,"[6, 4, 4, 7, 7] ⋅ [6, 8, 9, 3, 5]",160,36,35
190,"[9, 9, 6, 8, 3] ⋅ [6, 9, 7, 9, 4]",261,54,12
191,"[8, 9, 7, 3, 3] ⋅ [4, 3, 7, 9, 8]",159,32,24
192,"[5, 9, 2, 8, 7] ⋅ [6, 7, 6, 9, 3]",198,30,21
193,"[6, 8, 9, 7, 8] ⋅ [4, 4, 5, 4, 2]",145,24,16
194,"[5, 2, 9, 2, 6] ⋅ [4, 9, 3, 3, 3]",89,20,18
195,"[9, 5, 8, 6, 6] ⋅ [7, 4, 7, 4, 7]",205,63,42
196,"[5, 2, 7, 3, 8] ⋅ [6, 6, 2, 3, 8]",129,30,64
197,"[8, 8, 6, 2, 3] ⋅ [8, 3, 3, 7, 3]",129,64,9
198,"[8, 8, 2, 2, 7] ⋅ [5, 3, 6, 2, 4]",108,40,28
199,"[7, 9, 3, 3, 6] ⋅ [8, 4, 6, 5, 7]",167,56,42
200,"[7, 8, 4, 2, 6] ⋅ [6, 7, 4, 9, 3]",150,42,18
201,"[3, 3, 7, 7, 4] ⋅ [7, 3, 7, 7, 3]",140,21,12
202,"[6, 2, 8, 8, 7] ⋅ [6, 5, 7, 6, 9]",213,36,63
203,"[4, 5, 5, 5, 7] ⋅ [6, 7, 2, 3, 5]",119,24,35
204,"[6, 6, 5, 2, 6] ⋅ [7, 2, 9, 2, 8]",151,42,48
205,"[4, 2, 5, 5, 7] ⋅ [5, 3, 9, 4, 9]",154,20,63
206,"[7, 6, 3, 7, 7] ⋅ [9, 3, 6, 9, 6]",204,63,42
207,"[4, 7, 4, 7, 5] ⋅ [3, 4, 2, 4, 5]",101,12,25
208,"[9, 4, 5, 7, 7] ⋅ [9, 6, 3, 4, 6]",190,81,42
209,"[9, 4, 8, 2, 4] ⋅ [4, 5, 7, 8, 9]",164,36,36
210,"[9, 9, 9, 4, 2] ⋅ [6, 6, 5, 9, 5]",199,54,10
211,"[6, 4, 9, 4, 5] ⋅ [2, 2, 6, 3, 2]",96,12,10
212,"[3, 3, 5, 2, 8] ⋅ [7, 6, 5, 4, 6]",120,21,48
213,"[7, 9, 8, 4, 2] ⋅ [5, 2, 7, 7, 5]",147,35,10
214,"[5, 3, 2, 6, 2] ⋅ [3, 7, 5, 3, 9]",82,15,18
215,"[4, 6, 2, 3, 5] ⋅ [4, 8, 7, 8, 7]",137,16,35
216,"[8, 6, 9, 2, 5] ⋅ [6, 8, 3, 6, 4]",155,48,20
217,"[5, 4, 6, 2, 3] ⋅ [6, 6, 6, 9, 5]",123,30,15
218,"[7, 6, 2, 2, 2] ⋅ [2, 6, 9, 9, 5]",96,14,10
219,"[4, 4, 2, 7, 6] ⋅ [8, 2, 3, 9, 2]",121,32,12
220,"[4, 3, 8, 2, 5] ⋅ [3, 9, 3, 4, 3]",86,12,15
221,"[3, 5, 5, 5, 7] ⋅ [5, 3, 8, 3, 5]",120,15,35
222,"[7, 3, 8, 6, 4] ⋅ [9, 2, 2, 5, 9]",151,63,36
223,"[6, 8, 3, 7, 4] ⋅ [2, 5, 6, 3, 5]",111,12,20
224,"[5, 4, 8, 6, 9] ⋅ [8, 7, 3, 2, 5]",149,40,45
225,"[3, 6, 4, 3, 6] ⋅ [7, 2, 3, 9, 7]",114,21,42
226,"[9, 6, 9, 8, 5] ⋅ [7, 3, 8, 9, 6]",255,63,30
227,"[7, 6, 4, 3, 8] ⋅ [4, 2, 7, 8, 7]",148,28,56
228,"[2, 2, 9, 5, 5] ⋅ [7, 3, 7, 8, 8]",163,14,40
229,"[7, 2, 7, 8, 7] ⋅ [5, 8, 4, 4, 8]",167,35,56
230,"[6, 9, 4, 2, 4] ⋅ [7, 7, 7, 5, 4]",159,42,16
231,"[2, 6, 5, 7, 8] ⋅ [5, 7, 7, 9, 6]",198,10,48
232,"[6, 3, 3, 3, 5] ⋅ [2, 9, 8, 6, 7]",116,12,35
233,"[8, 8, 4, 5, 6] ⋅ [2, 6, 5, 3, 3]",117,16,18
234,"[7, 3, 4, 7, 4] ⋅ [6, 3, 7, 5, 9]",150,42,36
235,"[8, 8, 4, 9, 5] ⋅ [4, 2, 5, 3, 8]",135,32,40
236,"[5, 9, 7, 6, 7] ⋅ [3, 9, 5, 3, 4]",177,15,28
237,"[2, 2, 3, 8, 6] ⋅ [6, 5, 4, 9, 3]",124,12,18
238,"[3, 5, 6, 3, 6] ⋅ [8, 8, 3, 2, 9]",142,24,54
239,"[7, 7, 6, 9, 7] ⋅ [8, 6, 4, 3, 2]",163,56,14
240,"[6, 7, 2, 5, 8] ⋅ [9, 2, 2, 8, 3]",136,54,24
241,"[4, 8, 9, 7, 8] ⋅ [9, 6, 9, 7, 6]",262,36,48
242,"[3, 3, 5, 2, 5] ⋅ [9, 5, 8, 3, 8]",128,27,40
243,"[5, 8, 4, 5, 6] ⋅ [3, 5, 6, 8, 5]",149,15,30
244,"[9, 7, 3, 6, 9] ⋅ [2, 8, 8, 7, 9]",221,18,81
245,"[9, 2, 3, 4, 4] ⋅ [9, 7, 5, 7, 3]",150,81,12
246,"[6, 9, 3, 2, 5] ⋅ [4, 3, 3, 9, 3]",93,24,15
247,"[7, 4, 5, 9, 9] ⋅ [4, 9, 3, 5, 9]",205,28,81
248,"[8, 2, 8, 9, 6] ⋅ [8, 2, 2, 8, 5]",186,64,30
249,"[9, 2, 7, 4, 9] ⋅ [2, 5, 4, 7, 3]",111,18,27
250,"[7, 8, 5, 4, 5] ⋅ [3, 6, 6, 6, 5]",148,21,25
251,"[5, 5, 3, 9, 8] ⋅ [7, 6, 6, 7, 8]",210,35,64
252,"[5, 5, 2, 4, 2] ⋅ [5, 4, 5, 9, 7]",105,25,14
253,"[9, 3, 9, 8, 8] ⋅ [8, 5, 7, 2, 7]",222,72,56
254,"[4, 6, 6, 3, 3] ⋅ [4, 2, 8, 5, 4]",103,16,12
255,"[6, 8, 8, 4, 9] ⋅ [3, 3, 6, 4, 4]",142,18,36
256,"[4, 7, 2, 8, 9] ⋅ [5, 6, 3, 5, 5]",153,20,45
257,"[8, 5, 4, 7, 3] ⋅ [4, 4, 2, 3, 5]",96,32,15
258,"[8, 3, 4, 3, 5] ⋅ [4, 2, 8, 2, 6]",106,32,30
259,"[8, 2, 9, 8, 9] ⋅ [5, 4, 9, 5, 5]",214,40,45
260,"[3, 2, 4, 6, 8] ⋅ [8, 9, 6, 4, 3]",114,24,24
261,"[5, 6, 4, 4, 4] ⋅ [9, 3, 9, 5, 6]",143,45,24
262,"[4, 5, 7, 6, 4] ⋅ [2, 6, 4, 7, 6]",132,8,24
263,"[4, 9, 4, 3, 2] ⋅ [6, 9, 3, 6, 4]",143,24,8
264,"[6, 2, 4, 9, 4] ⋅ [5, 7, 7, 6, 8]",158,30,32
265,"[5, 5, 3, 4, 7] ⋅ [7, 2, 5, 7, 9]",151,35,63
266,"[6, 9, 8, 6, 5] ⋅ [7, 4, 5, 4, 9]",187,42,45
267,"[4, 7, 7, 2, 6] ⋅ [3, 2, 6, 7, 6]",118,12,36
268,"[3, 4, 6, 6, 6] ⋅ [6, 6, 3, 8, 5]",138,18,30
269,"[5, 2, 2, 9, 8] ⋅ [6, 7, 4, 8, 3]",148,30,24
270,"[7, 8, 9, 6, 4] ⋅ [9, 6, 5, 2, 4]",184,63,16
271,"[5, 4, 8, 7, 7] ⋅ [8, 5, 4, 5, 4]",155,40,28
272,"[2, 3, 3, 7, 8] ⋅ [8, 2, 5, 9, 7]",156,16,56
273,"[6, 9, 9, 3, 8] ⋅ [5, 4, 5, 3, 7]",176,30,56
274,"[6, 3, 2, 5, 2] ⋅ [2, 5, 8, 7, 8]",94,12,16
275,"[5, 3, 9, 3, 9] ⋅ [5, 4, 8, 6, 3]",154,25,27
276,"[5, 7, 9, 4, 4] ⋅ [4, 6, 3, 4, 2]",113,20,8
277,"[4, 3, 6, 6, 3] ⋅ [2, 6, 3, 7, 4]",98,8,12
278,"[2, 7, 9, 2, 2] ⋅ [2, 2, 8, 2, 9]",112,4,18
279,"[3, 7, 8, 9, 7] ⋅ [9, 7, 4, 9, 4]",217,27,28
280,"[3, 8, 4, 8, 6] ⋅ [9, 8, 4, 3, 3]",149,27,18
281,"[4, 7, 5, 2, 2] ⋅ [9, 8, 6, 7, 7]",150,36,14
282,"[5, 3, 6, 8, 4] ⋅ [6, 3, 5, 2, 3]",97,30,12
283,"[5, 7, 7, 6, 4] ⋅ [2, 9, 7, 5, 8]",184,10,32
284,"[7, 2, 2, 2, 3] ⋅ [8, 5, 7, 8, 7]",117,56,21
285,"[6, 8, 9, 2, 9] ⋅ [5, 6, 8, 7, 7]",227,30,63
286,"[5, 6, 8, 4, 7] ⋅ [9, 4, 3, 9, 9]",192,45,63
287,"[8, 9, 6, 9, 9] ⋅ [2, 3, 8, 3, 2]",136,16,18
288,"[2, 4, 6, 9, 3] ⋅ [5, 7, 6, 2, 4]",104,10,12
289,"[7, 5, 5, 3, 7] ⋅ [5, 7, 4, 5, 2]",119,35,14
290,"[7, 8, 4, 7, 4] ⋅ [8, 2, 8, 2, 4]",134,56,16
291,"[5, 2, 6, 6, 8] ⋅ [4, 4, 4, 7, 6]",142,20,48
292,"[4, 6, 4, 7, 4] ⋅ [7, 7, 9, 7, 4]",171,28,16
293,"[7, 7, 8, 5, 6] ⋅ [8, 4, 5, 2, 3]",152,56,18
294,"[2, 2, 3, 8, 7] ⋅ [8, 3, 7, 5, 2]",97,16,14
295,"[7, 2, 4, 9, 7] ⋅ [7, 4, 3, 2, 8]",143,49,56
296,"[9, 8, 8, 7, 7] ⋅ [3, 4, 6, 9, 3]",191,27,21
297,"[6, 6, 9, 6, 2] ⋅ [2, 6, 7, 2, 2]",127,12,4
298,"[8, 6, 9, 8, 4] ⋅ [4, 2, 7, 6, 7]",183,32,28
299,"[8, 7, 8, 9, 6] ⋅ [6, 3, 6, 3, 8]",192,48,48
300,"[4, 3, 9, 3, 3] ⋅ [5, 7, 4, 8, 5]",116,20,15
301,"[4, 2, 7, 8, 6] ⋅ [4, 3, 3, 5, 7]",125,16,42
302,"[5, 4, 7, 5, 9] ⋅ [9, 3, 2, 4, 9]",172,45,81
303,"[6, 6, 2, 8, 5] ⋅ [7, 4, 8, 3, 5]",131,42,25
304,"[5, 9, 6, 8, 6] ⋅ [3, 6, 5, 4, 7]",173,15,42
305,"[5, 4, 6, 2, 9] ⋅ [9, 4, 6, 8, 4]",149,45,36
306,"[5, 6, 7, 6, 6] ⋅ [2, 6, 4, 8, 2]",134,10,12
307,"[5, 7, 7, 8, 7] ⋅ [6, 4, 5, 3, 6]",159,30,42
308,"[9, 6, 6, 3, 4] ⋅ [9, 5, 9, 6, 3]",195,81,12
309,"[6, 6, 8, 2, 7] ⋅ [8, 9, 8, 2, 9]",233,48,63
